result_id,election_id,office,state,race_id,event_time,available_at,certified_at,dem_votes,rep_votes,other_votes,two_party_margin,margin_definition,margin_value,score_eligible,score_exclusion_reason,winner_party,winner_caucus,ballot_winner_party,modeled_side,stage,certification_status,source_url,raw_hash,retrieved_at,release_version
senate-2014-OR-certified,senate-2014,US_SENATE,OR,senate-2014-OR,2014-11-04,2014-11-22,,814537.0,538847.0,101562.0,20.3704,dem_minus_rep,20.3704,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-RI-certified,senate-2014,US_SENATE,RI,senate-2014-RI,2014-11-04,2014-11-22,,223675.0,92684.0,0.0,41.4058,dem_minus_rep,41.4058,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-SC-certified,senate-2014,US_SENATE,SC,senate-2014-SC,2014-11-04,2014-11-22,,456726.0,672941.0,105634.0,-19.1397,dem_minus_rep,-19.1397,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-SC-special-certified,senate-2014,US_SENATE,SC,senate-2014-SC-special,2014-11-04,2014-11-22,,459583.0,727215.0,21652.0,-22.5508,dem_minus_rep,-22.5508,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-SD-certified,senate-2014,US_SENATE,SD,senate-2014-SD,2014-11-04,2014-11-22,,82456.0,140741.0,56215.0,-26.1137,dem_minus_rep,-26.1137,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-TN-certified,senate-2014,US_SENATE,TN,senate-2014-TN,2014-11-04,2014-11-22,,437848.0,850087.0,86130.0,-32.0077,dem_minus_rep,-32.0077,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-TX-certified,senate-2014,US_SENATE,TX,senate-2014-TX,2014-11-04,2014-11-22,,1597387.0,2861531.0,189440.0,-28.3509,dem_minus_rep,-28.3509,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-VA-certified,senate-2014,US_SENATE,VA,senate-2014-VA,2014-11-04,2014-11-22,,1073667.0,1055940.0,53102.0,0.8324,dem_minus_rep,0.8324,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-WV-certified,senate-2014,US_SENATE,WV,senate-2014-WV,2014-11-04,2014-11-22,,156360.0,281820.0,15509.0,-28.6321,dem_minus_rep,-28.6321,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-WY-certified,senate-2014,US_SENATE,WY,senate-2014-WY,2014-11-04,2014-11-22,,29377.0,121554.0,16988.0,-61.0723,dem_minus_rep,-61.0723,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
